"sex","aage","AJBHRS","ancars","avote","aregion","ajbstat","ajbterm","ahhsize","atenure","afihhyr"
2,21,10,"1","2","8","6","2","2","2",16096.5771484375
1,55,39,"2","2","3","2","1","3","3",23456.328125
1,28,39,"0","2","6","2","1","4","3",16930.369140625
1,38,40,"1","1","8","2","1","5","2",20827.115234375
1,19,35,"3","1","3","2","1","3","2",36287.171875
2,32,37,"2","1","3","2","1","2","2",49315.2734375
1,63,39,"0","1","1","2","1","2","2",21268.912109375
1,37,37,"2","3","4","2","1","5","2",32409.6796875
1,54,39,"0","1","18","2","1","2","2",33014.25
1,25,55,"2","10","2","2","1","3","2",32116.29296875
1,31,37,"1","10","18","2","1","2","2",30633
1,45,39,"2","1","3","2","1","3","2",28333.53515625
2,43,36,"1","3","13","2","1","4","3",22704.18359375
1,32,37,"2","3","1","2","1","2","2",39364.46875
1,36,35,"1","2","17","9","3","2","1",16157.94140625
1,35,35,"0","2","4","2","1","1","2",24018.4765625
1,40,40,"0","2","6","2","1","4","2",18503.05859375
2,31,22,"1","1","16","2","1","4","2",12098.0771484375
2,51,28,"3","2","18","2","1","4","3",22180.07421875
1,29,37,"1","1","17","2","1","3","2",28470.58203125
2,56,30,"2","1","3","2","1","2","2",17867.35546875
2,46,16,"3","1","4","2","1","4","2",28533.02734375
1,30,35,"3","3","2","2","1","5","1",54278.890625
2,22,38,"2","4","18","2","1","4","2",30923.00390625
1,30,75,"1","10","8","2","1","4","3",12659.1162109375
1,32,37,"1","1","8","2","1","4","2",18488.451171875
1,25,41,"3","10","3","2","1","3","2",39881.828125
1,77,28,"1","1","3","2","2","2","1",35208.78125
2,39,36,"1","2","2","2","1","2","2",18626.095703125
2,42,42,"3","1","6","2","1","4","2",15258.2373046875
1,46,44,"2","3","4","2","1","2","2",18031.921875
2,30,20,"1","1","8","2","2","5","2",20798.89453125
1,59,39,"0","2","17","2","1","3","1",18773.365234375
2,30,20,"1","2","10","2","1","4","2",24017.033203125
1,52,38,"2","1","2","2","1","3","2",23867.986328125
2,48,35,"2","1","3","2","1","5","2",40974.90625
1,23,24,"3","10","14","2","1","4","1",24641.041015625
2,28,37,"2","6","4","2","1","2","2",44583.0703125
1,48,37,"0","1","11","2","1","4","2",16155.46875
2,65,4,"1","1","3","2","3","1","1",8599.63671875
1,64,10,"2","1","4","2","1","2","1",7274
2,34,37,"1","10","9","2","3","1","2",14932.134765625
1,56,38,"1","1","7","2","1","3","2",26132.138671875
1,44,39,"2","1","5","2","1","2","2",21002.05078125
2,32,39,"2","2","14","2","3","4","2",22757.302734375
2,22,10,"2","1","3","2","1","3","6",18239.541015625
